,id,groupId,push,pull,cost
455,2316,55,55007,34788,89795
435,2267,55,54653,35209,89862
506,2432,55,56715,33169,89884
456,2317,55,59290,30970,90260
830,3075,55,53855,36533,90388
405,2200,55,56458,34800,91258
374,2145,55,55448,35856,91304
637,2732,55,58070,33496,91566
379,2150,55,53529,38062,91591
394,2180,55,56369,35226,91595
388,2174,55,54293,37596,91889
391,2177,111,57052,34907,91959
515,2446,55,63812,28338,92150
1014,3353,55,58583,34422,93005
460,2324,55,59066,33968,93034
1207,3660,127,58320,34745,93065
808,3049,55,52571,40683,93254
1210,3664,127,57581,36015,93596
376,2147,55,57919,35705,93624
1345,3881,79,57569,36202,93771
730,2915,48,59382,34464,93846
1212,3668,127,57748,36496,94244
1211,3665,48,59762,34973,94735
854,3112,55,64006,30824,94830
1235,3702,48,59373,35732,95105
732,2917,48,60902,34367,95269
1036,3397,48,60051,35429,95480
381,2152,55,52537,42989,95526
1206,3656,48,58262,37508,95770
1215,3672,48,59149,36763,95912
812,3053,55,53221,42698,95919
1175,3599,132,47719,48577,96296
1318,3829,127,61564,34742,96306
1023,3363,48,60950,35591,96541
387,2173,55,59911,37237,97148
500,2424,55,65518,31779,97297
711,2879,51,64951,32609,97560
948,3236,51,66298,31354,97652
1324,3838,79,66282,31380,97662
498,2422,55,69862,27882,97744
824,3068,55,53974,43867,97841
390,2176,55,59783,38089,97872
1044,3414,48,61997,35949,97946
1173,3595,132,49508,48464,97972
1326,3840,127,61629,36458,98087
380,2151,55,57301,40852,98153
1242,3712,48,60728,37433,98161
1316,3826,48,57632,40660,98292
1030,3385,48,61751,36708,98459
734,2919,48,62083,36383,98466
739,2926,55,62119,36430,98549
880,3145,51,68077,30685,98762
1123,3513,48,62573,36309,98882
1320,3832,79,66376,32515,98891
867,3128,51,68007,30909,98916
1037,3399,48,62762,36418,99180
882,3147,51,68089,31114,99203
1196,3642,48,60688,38819,99507
677,2816,51,66052,33505,99557
1049,3430,79,68723,30885,99608
751,2948,48,60930,38743,99673
879,3144,51,68870,30814,99684
1165,3581,132,51391,48318,99709
886,3151,51,68640,31078,99718
1331,3849,79,68403,31349,99752
911,3176,79,68494,31276,99770
917,3182,79,66736,33105,99841
402,2195,55,64868,34993,99861
790,3008,101,65941,33965,99906
1058,3440,79,68383,31665,100048
1158,3572,132,50716,49414,100130
870,3131,51,69477,30749,100226
1288,3782,79,68306,31931,100237
756,2953,48,65024,35352,100376
800,3033,51,67785,32602,100387
912,3177,79,67925,32674,100599
878,3143,51,68115,32633,100748
744,2938,51,68956,31808,100764
1330,3848,79,65896,34878,100774
725,2910,48,64512,36267,100779
1311,3821,127,64124,36723,100847
890,3155,51,69786,31101,100887
932,3197,79,69102,31833,100935
1168,3587,132,52563,48383,100946
728,2913,48,64851,36146,100997
1195,3638,48,66193,34947,101140
883,3148,51,68311,32871,101182
1120,3510,79,68960,32275,101235
727,2912,48,59091,42248,101339
754,2951,48,66378,35033,101411
403,2197,55,66541,34944,101485
1127,3527,51,69330,32179,101509
888,3153,51,67952,33593,101545
903,3168,79,70431,31146,101577
893,3158,51,68872,32747,101619
792,3012,101,65036,36621,101657
881,3146,51,70543,31153,101696
700,2855,51,67672,34056,101728
378,2149,55,62187,39580,101767
1111,3500,79,68401,33370,101771
1066,3450,79,69484,32298,101782
785,3002,104,69771,32070,101841
947,3235,51,70097,31788,101885
1046,3418,79,68132,33916,102048
988,3310,130,69380,32680,102060
909,3174,79,66083,35996,102079
871,3132,51,67968,34180,102148
1295,3793,79,65874,36277,102151
991,3314,130,67920,34297,102217
789,3006,101,68446,33908,102354
1256,3737,48,66693,35766,102459
791,3009,101,68407,34079,102486
868,3129,51,70020,32512,102532
927,3192,79,70890,31657,102547
836,3085,51,70015,32542,102557
815,3056,51,68791,33840,102631
1060,3442,79,68993,33790,102783
399,2192,55,70929,31956,102885
1170,3590,132,54146,48964,103110
1117,3506,79,67691,35459,103150
801,3040,51,71635,31585,103220
1077,3466,105,54629,48697,103326
778,2992,51,70615,32792,103407
810,3051,51,67645,35803,103448
1282,3772,79,65963,37562,103525
679,2818,51,71112,32456,103568
937,3202,79,70868,32834,103702
885,3150,51,70334,33415,103749
1294,3791,51,68833,34930,103763
733,2918,48,56766,47070,103836
375,2146,55,59936,44005,103941
680,2822,51,71885,32059,103944
691,2844,51,70827,33146,103973
1116,3505,79,68172,35857,104029
1131,3533,51,70637,33494,104131
978,3299,79,71418,32747,104165
939,3207,51,70824,33392,104216
931,3196,79,72273,31995,104268
923,3188,79,72027,32309,104336
1224,3682,127,65807,38634,104441
928,3193,79,67843,36634,104477
1172,3592,130,69600,34922,104522
794,3015,51,73217,31334,104551
1050,3431,79,68929,35650,104579
887,3152,51,70697,33925,104622
